course_code,course_name,department,total_seats,instructor_rating,is_elective,semester,registration_start,semester_start,actual_hours_to_fill
CS-101-A,Intro to Programming,CS,40,4.5,False,F24,2024-06-10 09:00:00,2024-07-01,15
CS-101-B,Intro to Programming,CS,45,3.8,False,F24,2024-06-10 09:00:00,2024-07-01,48
CS-201-A,Data Structures,CS,35,4.8,False,F24,2024-06-10 09:00:00,2024-07-01,8
CS-201-B,Data Structures,CS,35,,False,F24,2024-06-10 09:00:00,2024-07-01,36
MATH-101-A,Calculus I,MATH,50,4.2,False,F24,2024-06-10 09:00:00,2024-07-01,24
MATH-101-B,Calculus I,MATH,50,2.5,False,F24,2024-06-10 09:00:00,2024-07-01,140
LIT-150-A,Gothic Literature,HUM,30,4.9,True,F24,2024-06-10 09:00:00,2024-07-01,5
HIST-101-A,World History,HUM,60,3.2,False,F24,2024-06-10 09:00:00,2024-07-01,96
CHEM-101-A,General Chemistry,SCI,80,,False,F24,2024-06-10 09:00:00,2024-07-01,72
CHEM-101-B,General Chemistry,SCI,80,3.0,False,F24,2024-06-10 09:00:00,2024-07-01,150
CS-301-A,Operating Systems,CS,30,4.7,False,S25,2025-11-05 09:00:00,2025-11-20,3
CS-302-A,Database Systems,CS,40,4.0,False,S25,2025-11-05 09:00:00,2025-11-20,12
CS-350-A,Web Development,CS,25,,True,S25,2025-11-05 09:00:00,2025-11-20,18
IT-105-A,IT Systems,IT,50,3.5,False,S25,2025-11-05 09:00:00,2025-11-20,72
IT-210-A,Network Basics,IT,45,2.8,False,S25,2025-11-05 09:00:00,2025-11-20,110
IT-305-A,Cyber Security,IT,30,4.6,True,S25,2025-11-05 09:00:00,2025-11-20,6
EC-101-A,Basic Electronics,EC,60,3.9,False,S25,2025-11-05 09:00:00,2025-11-20,80
EC-202-A,Signal Processing,EC,40,2.1,False,S25,2025-11-05 09:00:00,2025-11-20,195
EC-315-A,Embedded Systems,EC,30,4.4,True,S25,2025-11-05 09:00:00,2025-11-20,14
MECH-102-A,Engineering Drawing,MECH,50,1.8,False,S25,2025-11-05 09:00:00,2025-11-20,230
MECH-201-A,Thermodynamics,MECH,40,3.4,False,S25,2025-11-05 09:00:00,2025-11-20,145
MECH-303-A,Fluid Mechanics,MECH,35,,False,S25,2025-11-05 09:00:00,2025-11-20,180
MECH-410-A,Robotics Design,MECH,25,4.3,True,S25,2025-11-05 09:00:00,2025-11-20,20
CS-101-A,Intro to Programming,CS,40,4.4,False,S25,2025-11-05 09:00:00,2025-11-20,18
CS-101-B,Intro to Programming,CS,45,3.6,False,S25,2025-11-05 09:00:00,2025-11-20,54
CS-201-A,Data Structures,CS,35,4.9,False,S25,2025-11-05 09:00:00,2025-11-20,6
CS-201-B,Data Structures,CS,35,3.2,False,S25,2025-11-05 09:00:00,2025-11-20,40
MATH-101-A,Calculus I,MATH,50,4.3,False,S25,2025-11-05 09:00:00,2025-11-20,20
MATH-101-B,Calculus I,MATH,50,,False,S25,2025-11-05 09:00:00,2025-11-20,130
LIT-150-A,Gothic Literature,HUM,30,4.7,True,S25,2025-11-05 09:00:00,2025-11-20,7
HIST-101-A,World History,HUM,60,3.5,False,S25,2025-11-05 09:00:00,2025-11-20,88
CHEM-101-A,General Chemistry,SCI,80,4.1,False,S25,2025-11-05 09:00:00,2025-11-20,60
CHEM-101-B,General Chemistry,SCI,80,2.9,False,S25,2025-11-05 09:00:00,2025-11-20,165
CS-401-A,Machine Learning,CS,35,4.8,True,F25,2025-06-09 09:00:00,2025-07-01,2
CS-402-A,Computer Networks,CS,40,3.7,False,F25,2025-06-09 09:00:00,2025-07-01,36
CS-490-A,Special Topics in CS,CS,20,,True,F25,2025-06-09 09:00:00,2025-07-01,10
IT-310-A,Cloud Computing,IT,40,4.5,True,F25,2025-06-09 09:00:00,2025-07-01,9
IT-405-A,IT Project Management,IT,50,3.1,False,F25,2025-06-09 09:00:00,2025-07-01,110
IT-420-A,Data Warehousing,IT,35,2.6,False,F25,2025-06-09 09:00:00,2025-07-01,180
EC-301-A,Digital Design,EC,45,4.0,False,F25,2025-06-09 09:00:00,2025-07-01,55
EC-302-A,Microcontrollers,EC,35,3.6,False,F25,2025-06-09 09:00:00,2025-07-01,70
EC-450-A,Wireless Communication,EC,30,4.2,True,F25,2025-06-09 09:00:00,2025-07-01,16
MECH-301-A,Kinematics of Machinery,MECH,45,2.4,False,F25,2025-06-09 09:00:00,2025-07-01,220
MECH-302-A,Machine Design,MECH,40,3.1,False,F25,2025-06-09 09:00:00,2025-07-01,160
MECH-450-A,Automotive Engineering,MECH,30,,True,F25,2025-06-09 09:00:00,2025-07-01,45
CS-101-A,Intro to Programming,CS,40,4.6,False,F25,2025-06-09 09:00:00,2025-07-01,11
CS-101-B,Intro to Programming,CS,45,4.0,False,F25,2025-06-09 09:00:00,2025-07-01,30
CS-201-A,Data Structures,CS,35,4.7,False,F25,2025-06-09 09:00:00,2025-07-01,4
MATH-101-A,Calculus I,MATH,50,4.1,False,F25,2025-06-09 09:00:00,2025-07-01,28
LIT-150-A,Gothic Literature,HUM,30,4.5,True,F25,2025-06-09 09:00:00,2025-07-01,9
HIST-101-A,World History,HUM,60,3.0,False,F25,2025-06-09 09:00:00,2025-07-01,120
CHEM-101-A,General Chemistry,SCI,80,3.8,False,F25,2025-06-09 09:00:00,2025-07-01,75
CS-210-A,Discrete Structures,CS,45,4.3,False,S26,2026-11-04 10:00:00,2026-11-25,22
CS-315-A,Algorithms Design,CS,35,4.9,False,S26,2026-11-04 10:00:00,2026-11-25,5
CS-420-A,Software Engineering,CS,40,,False,S26,2026-11-04 10:00:00,2026-11-25,18
IT-201-A,Java Programming,IT,50,3.4,False,S26,2026-11-04 10:00:00,2026-11-25,85
EC-210-A,Network Analysis,EC,40,2.5,False,S26,2026-11-04 10:00:00,2026-11-25,150
MECH-210-A,Material Science,MECH,45,3.0,False,S26,2026-11-04 10:00:00,2026-11-25,190
MATH-201-A,Linear Algebra,MATH,40,4.6,True,S26,2026-11-04 10:00:00,2026-11-25,10
LIT-200-A,Creative Writing,HUM,25,4.8,True,S26,2026-11-04 10:00:00,2026-11-25,4
